Step,method1,method2,method3,method4,method5,method6,method7,method8,method9,method10,method11,method12,method13,method14,method15,method16,method17,method18
1802,0.348733333,0.345,0.3553,0.29855,0.2768,0.3203,0.3274,0.3274,0.3274,0.011433333,0.0099,0.0122,0.3616,0.3616,0.3616,0.3456,0.3456,0.3456
1806,0.3396,0.3349,0.3438,0.29495,0.2711,0.3188,0.3364,0.3364,0.3364,0.0082,0.0081,0.0084,0.3617,0.3617,0.3617,0.3443,0.3443,0.3443
1810,0.3487,0.3387,0.3619,0.3,0.2821,0.3179,0.3349,0.3349,0.3349,0.010066667,0.0098,0.0106,0.3621,0.3621,0.3621,0.3486,0.3486,0.3486
1814,0.3487,0.3371,0.3611,0.29065,0.2729,0.3084,0.3339,0.3339,0.3339,0.013133333,0.0131,0.0132,0.3587,0.3587,0.3587,0.3464,0.3464,0.3464
1818,0.339966667,0.3307,0.3536,0.29165,0.2721,0.3112,0.3214,0.3214,0.3214,0.005066667,0.005,0.0052,0.3556,0.3556,0.3556,0.3414,0.3414,0.3414
1822,0.341766667,0.3372,0.3447,0.29605,0.2745,0.3176,0.3286,0.3286,0.3286,0.008833333,0.0065,0.01,0.3585,0.3585,0.3585,0.3438,0.3438,0.3438
1826,0.341066667,0.3372,0.3466,0.3005,0.2782,0.3228,0.3292,0.3292,0.3292,0.011733333,0.0095,0.0129,0.3551,0.3551,0.3551,0.3484,0.3484,0.3484
1830,0.339933333,0.3352,0.3434,0.2976,0.2768,0.3184,0.3247,0.3247,0.3247,0.011133333,0.011,0.0114,0.3592,0.3592,0.3592,0.3438,0.3438,0.3438
1834,0.338433333,0.3297,0.3519,0.2992,0.2777,0.3207,0.3305,0.3305,0.3305,0.006666667,0.0046,0.0077,0.3607,0.3607,0.3607,0.3453,0.3453,0.3453
1838,0.345633333,0.3388,0.3557,0.30045,0.2797,0.3212,0.3325,0.3325,0.3325,0.013,0.011,0.0154,0.3582,0.3582,0.3582,0.3448,0.3448,0.3448
1842,0.347566667,0.3393,0.3585,0.2998,0.2756,0.324,0.3339,0.3339,0.3339,0.0095,0.0067,0.0109,0.3601,0.3601,0.3601,0.3443,0.3443,0.3443
1846,0.3453,0.337,0.3527,0.29995,0.2802,0.3197,0.3383,0.3383,0.3383,0.008033333,0.0079,0.0082,0.356,0.356,0.356,0.3451,0.3451,0.3451
1850,0.342433333,0.3318,0.3561,0.2996,0.2769,0.3223,0.3335,0.3335,0.3335,0.0091,0.0074,0.0101,0.3517,0.3517,0.3517,0.3457,0.3457,0.3457
1854,0.3405,0.3362,0.3429,0.29085,0.2731,0.3086,0.3257,0.3257,0.3257,0.005966667,0.0053,0.0063,0.3454,0.3454,0.3454,0.3429,0.3429,0.3429
1858,0.3408,0.336,0.3432,0.2974,0.2733,0.3215,0.3339,0.3339,0.3339,0.011833333,0.0108,0.0134,0.3502,0.3502,0.3502,0.3463,0.3463,0.3463
1862,0.343266667,0.3382,0.3485,0.29435,0.2727,0.316,0.334,0.334,0.334,0.011033333,0.0097,0.0137,0.3588,0.3588,0.3588,0.3455,0.3455,0.3455
1866,0.3447,0.3422,0.347,0.2903,0.2727,0.3079,0.3348,0.3348,0.3348,0.0069,0.0063,0.0081,0.3558,0.3558,0.3558,0.3398,0.3398,0.3398
1870,0.338533333,0.3311,0.3441,0.29425,0.277,0.3115,0.3305,0.3305,0.3305,0.007333333,0.0063,0.0094,0.3561,0.3561,0.3561,0.349,0.349,0.349
1874,0.3387,0.3364,0.3411,0.30235,0.28,0.3247,0.3215,0.3215,0.3215,0.005466667,0.005,0.0064,0.3547,0.3547,0.3547,0.3414,0.3414,0.3414
1878,0.343566667,0.3425,0.3447,0.30395,0.2803,0.3276,0.3327,0.3327,0.3327,0.0116,0.0068,0.014,0.3527,0.3527,0.3527,0.3395,0.3395,0.3395
1882,0.344833333,0.3387,0.355,0.30185,0.2836,0.3201,0.3413,0.3413,0.3413,0.008333333,0.0078,0.0086,0.3634,0.3634,0.3634,0.3465,0.3465,0.3465
1886,0.344633333,0.334,0.3599,0.2991,0.2796,0.3186,0.3388,0.3388,0.3388,0.011233333,0.0105,0.0116,0.3593,0.3593,0.3593,0.3461,0.3461,0.3461
1890,0.3402,0.3226,0.3552,0.2954,0.2723,0.3185,0.3311,0.3311,0.3311,0.0049,0.0034,0.0079,0.3604,0.3604,0.3604,0.3465,0.3465,0.3465
1894,0.3451,0.3346,0.3583,0.29955,0.2825,0.3166,0.3259,0.3259,0.3259,0.012166667,0.0097,0.0134,0.3651,0.3651,0.3651,0.3487,0.3487,0.3487
1898,0.3454,0.3387,0.3506,0.2986,0.2787,0.3185,0.3371,0.3371,0.3371,0.010033333,0.0079,0.0111,0.3591,0.3591,0.3591,0.3507,0.3507,0.3507
1902,0.343733333,0.3408,0.349,0.2954,0.2772,0.3136,0.3383,0.3383,0.3383,0.009233333,0.0091,0.0093,0.3562,0.3562,0.3562,0.3462,0.3462,0.3462
1906,0.337766667,0.3321,0.3411,0.29845,0.2739,0.323,0.3288,0.3288,0.3288,0.004133333,0.0034,0.0056,0.3579,0.3579,0.3579,0.3487,0.3487,0.3487
1910,0.345666667,0.3409,0.3504,0.30045,0.2796,0.3213,0.3309,0.3309,0.3309,0.0103,0.0073,0.0118,0.3583,0.3583,0.3583,0.3517,0.3517,0.3517
1914,0.342566667,0.3351,0.3476,0.29045,0.2736,0.3073,0.3285,0.3285,0.3285,0.010633333,0.0097,0.0112,0.3614,0.3614,0.3614,0.3507,0.3507,0.3507
1918,0.3436,0.3401,0.3495,0.29395,0.2748,0.3131,0.3254,0.3254,0.3254,0.013433333,0.0133,0.0135,0.3571,0.3571,0.3571,0.3422,0.3422,0.3422
1922,0.343633333,0.3424,0.3449,0.2974,0.277,0.3178,0.333,0.333,0.333,0.005,0.005,0.005,0.3623,0.3623,0.3623,0.344,0.344,0.344
1926,0.341833333,0.3373,0.3454,0.28925,0.271,0.3075,0.3394,0.3394,0.3394,0.008966667,0.0089,0.0091,0.3574,0.3574,0.3574,0.3422,0.3422,0.3422
1930,0.3521,0.34,0.3586,0.3015,0.2805,0.3225,0.3397,0.3397,0.3397,0.0108,0.0102,0.0111,0.3639,0.3639,0.3639,0.3515,0.3515,0.3515
1934,0.348133333,0.3428,0.3512,0.30135,0.2837,0.319,0.3352,0.3352,0.3352,0.011166667,0.0108,0.0119,0.3628,0.3628,0.3628,0.3517,0.3517,0.3517
1938,0.343966667,0.3435,0.3442,0.2963,0.2745,0.3181,0.3329,0.3329,0.3329,0.010866667,0.0098,0.013,0.3612,0.3612,0.3612,0.3479,0.3479,0.3479
1942,0.3462,0.339,0.3544,0.29765,0.2758,0.3195,0.3346,0.3346,0.3346,0.005,0.005,0.005,0.3658,0.3658,0.3658,0.3497,0.3497,0.3497
1946,0.345,0.3366,0.356,0.29745,0.2774,0.3175,0.325,0.325,0.325,0.010433333,0.0099,0.0107,0.3659,0.3659,0.3659,0.3474,0.3474,0.3474
1950,0.344466667,0.3372,0.3573,0.29895,0.277,0.3209,0.3249,0.3249,0.3249,0.0108,0.0104,0.011,0.3646,0.3646,0.3646,0.3469,0.3469,0.3469
1954,0.349533333,0.3392,0.3644,0.30035,0.2754,0.3253,0.331,0.331,0.331,0.0088,0.0064,0.01,0.3616,0.3616,0.3616,0.3422,0.3422,0.3422
1958,0.348433333,0.3417,0.3574,0.2959,0.2748,0.317,0.3407,0.3407,0.3407,0.0095,0.0095,0.0095,0.3642,0.3642,0.3642,0.3435,0.3435,0.3435
1962,0.343733333,0.3312,0.3516,0.2965,0.273,0.32,0.3408,0.3408,0.3408,0.0113,0.0107,0.0116,0.3613,0.3613,0.3613,0.3433,0.3433,0.3433
1966,0.344866667,0.3352,0.35,0.3037,0.2795,0.3279,0.3363,0.3363,0.3363,0.009833333,0.0098,0.0099,0.3595,0.3595,0.3595,0.3468,0.3468,0.3468
1970,0.344866667,0.3387,0.3531,0.30405,0.2795,0.3286,0.327,0.327,0.327,0.009133333,0.0074,0.01,0.3552,0.3552,0.3552,0.3453,0.3453,0.3453
1974,0.346366667,0.3404,0.3567,0.30075,0.2787,0.3228,0.3398,0.3398,0.3398,0.010866667,0.0095,0.0136,0.3641,0.3641,0.3641,0.3467,0.3467,0.3467
1978,0.3485,0.3424,0.3583,0.29545,0.2744,0.3165,0.3423,0.3423,0.3423,0.010633333,0.0105,0.0109,0.363,0.363,0.363,0.3483,0.3483,0.3483
1982,0.3457,0.3387,0.3514,0.3012,0.281,0.3214,0.3379,0.3379,0.3379,0.0142,0.0132,0.0147,0.3614,0.3614,0.3614,0.3467,0.3467,0.3467
1986,0.345233333,0.3401,0.3488,0.29825,0.2786,0.3179,0.3371,0.3371,0.3371,0.010333333,0.0094,0.0122,0.3609,0.3609,0.3609,0.3452,0.3452,0.3452
1990,0.340433333,0.3315,0.3491,0.29575,0.2771,0.3144,0.3385,0.3385,0.3385,0.0076,0.0076,0.0076,0.3573,0.3573,0.3573,0.3463,0.3463,0.3463
1994,0.343833333,0.3373,0.3537,0.2948,0.2807,0.3089,0.3377,0.3377,0.3377,0.0095,0.009,0.0105,0.3646,0.3646,0.3646,0.3493,0.3493,0.3493
1998,0.341766667,0.328,0.3518,0.29885,0.2786,0.3191,0.3369,0.3369,0.3369,0.0098,0.0094,0.01,0.3612,0.3612,0.3612,0.3474,0.3474,0.3474
2002,0.341666667,0.3307,0.3513,0.2973,0.277,0.3176,0.3308,0.3308,0.3308,0.008733333,0.0074,0.0094,0.3589,0.3589,0.3589,0.3448,0.3448,0.3448
2006,0.3425,0.3272,0.3515,0.29535,0.2768,0.3139,0.3234,0.3234,0.3234,0.012566667,0.0109,0.0134,0.3594,0.3594,0.3594,0.3479,0.3479,0.3479
2010,0.339733333,0.3351,0.3474,0.2957,0.274,0.3174,0.3257,0.3257,0.3257,0.011533333,0.0109,0.0128,0.3634,0.3634,0.3634,0.3434,0.3434,0.3434
2014,0.3422,0.3337,0.3576,0.29785,0.2736,0.3221,0.3351,0.3351,0.3351,0.008133333,0.0063,0.0118,0.3616,0.3616,0.3616,0.3481,0.3481,0.3481
2018,0.341133333,0.3326,0.3526,0.2944,0.272,0.3168,0.3361,0.3361,0.3361,0.0107,0.0093,0.0135,0.3622,0.3622,0.3622,0.3427,0.3427,0.3427
2022,0.342033333,0.3348,0.3511,0.29285,0.2696,0.3161,0.3358,0.3358,0.3358,0.008566667,0.0079,0.0089,0.3659,0.3659,0.3659,0.3441,0.3441,0.3441
2026,0.3416,0.3344,0.348,0.29155,0.2695,0.3136,0.3294,0.3294,0.3294,0.010766667,0.0107,0.0109,0.3629,0.3629,0.3629,0.3496,0.3496,0.3496
2030,0.347433333,0.3404,0.3523,0.30125,0.2781,0.3244,0.3408,0.3408,0.3408,0.010933333,0.0108,0.011,0.3639,0.3639,0.3639,0.3535,0.3535,0.3535
2034,0.343866667,0.3327,0.3581,0.30445,0.2816,0.3273,0.3368,0.3368,0.3368,0.0134,0.0134,0.0134,0.3659,0.3659,0.3659,0.349,0.349,0.349
2038,0.3455,0.3354,0.3587,0.2897,0.2751,0.3043,0.3415,0.3415,0.3415,0.0106,0.0089,0.0136,0.3617,0.3617,0.3617,0.3492,0.3492,0.3492
2042,0.3439,0.3386,0.3544,0.29785,0.2742,0.3215,0.336,0.336,0.336,0.0099,0.0098,0.0101,0.3668,0.3668,0.3668,0.3473,0.3473,0.3473
2046,0.341766667,0.3344,0.3506,0.29155,0.2707,0.3124,0.3275,0.3275,0.3275,0.012066667,0.01,0.0133,0.3658,0.3658,0.3658,0.3434,0.3434,0.3434
2050,0.342266667,0.3281,0.3551,0.3043,0.2806,0.328,0.3279,0.3279,0.3279,0.0122,0.0122,0.0122,0.3645,0.3645,0.3645,0.3452,0.3452,0.3452
2054,0.338166667,0.3303,0.3502,0.2972,0.2814,0.313,0.3275,0.3275,0.3275,0.008666667,0.0086,0.0088,0.3644,0.3644,0.3644,0.3451,0.3451,0.3451
2058,0.343033333,0.3337,0.3542,0.29355,0.276,0.3111,0.343,0.343,0.343,0.0106,0.0105,0.0108,0.3639,0.3639,0.3639,0.3484,0.3484,0.3484
2062,0.3457,0.3274,0.367,0.30085,0.2764,0.3253,0.3393,0.3393,0.3393,0.0064,0.0042,0.0108,0.367,0.367,0.367,0.3466,0.3466,0.3466
2066,0.345166667,0.3269,0.3643,0.2948,0.2739,0.3157,0.3475,0.3475,0.3475,0.009166667,0.008,0.0115,0.3626,0.3626,0.3626,0.3463,0.3463,0.3463
2070,0.342833333,0.3333,0.3542,0.2979,0.2744,0.3214,0.336,0.336,0.336,0.0097,0.0094,0.0103,0.3622,0.3622,0.3622,0.3472,0.3472,0.3472
2074,0.342766667,0.3345,0.3538,0.2979,0.2738,0.322,0.333,0.333,0.333,0.013966667,0.0139,0.014,0.355,0.355,0.355,0.3441,0.3441,0.3441
2078,0.3442,0.3335,0.3579,0.29385,0.2761,0.3116,0.3292,0.3292,0.3292,0.009066667,0.0088,0.0095,0.3567,0.3567,0.3567,0.3427,0.3427,0.3427
2082,0.3444,0.3383,0.3506,0.29605,0.2731,0.319,0.3261,0.3261,0.3261,0.012933333,0.0116,0.0152,0.3572,0.3572,0.3572,0.3431,0.3431,0.3431
2086,0.343233333,0.3312,0.3535,0.30305,0.2785,0.3276,0.3393,0.3393,0.3393,0.0076,0.0063,0.0083,0.3558,0.3558,0.3558,0.3489,0.3489,0.3489
2090,0.342633333,0.3377,0.3493,0.29585,0.2766,0.3151,0.334,0.334,0.334,0.009833333,0.0081,0.0107,0.3636,0.3636,0.3636,0.3466,0.3466,0.3466
2094,0.341366667,0.3357,0.3501,0.3001,0.2745,0.3257,0.3347,0.3347,0.3347,0.007033333,0.0065,0.0073,0.3637,0.3637,0.3637,0.3468,0.3468,0.3468
2098,0.339133333,0.3342,0.3456,0.29465,0.2686,0.3207,0.3191,0.3191,0.3191,0.0095,0.0078,0.0129,0.3549,0.3549,0.3549,0.3451,0.3451,0.3451
2102,0.342733333,0.3385,0.3505,0.2992,0.278,0.3204,0.3279,0.3279,0.3279,0.010933333,0.0109,0.011,0.358,0.358,0.358,0.3434,0.3434,0.3434
2106,0.335633333,0.3253,0.3455,0.3003,0.2747,0.3259,0.3305,0.3305,0.3305,0.015166667,0.0125,0.0165,0.3599,0.3599,0.3599,0.3478,0.3478,0.3478
2110,0.339033333,0.3368,0.343,0.29965,0.2791,0.3202,0.3407,0.3407,0.3407,0.010666667,0.0105,0.011,0.3603,0.3603,0.3603,0.3501,0.3501,0.3501
2114,0.3438,0.336,0.3542,0.299,0.2748,0.3232,0.3322,0.3322,0.3322,0.007233333,0.0067,0.0083,0.3635,0.3635,0.3635,0.348,0.348,0.348
2118,0.345966667,0.3376,0.3553,0.29785,0.2744,0.3213,0.3285,0.3285,0.3285,0.010133333,0.0084,0.011,0.3618,0.3618,0.3618,0.3448,0.3448,0.3448
2122,0.343466667,0.3341,0.3484,0.296,0.2696,0.3224,0.3414,0.3414,0.3414,0.010233333,0.0093,0.0107,0.3634,0.3634,0.3634,0.3429,0.3429,0.3429
2126,0.349066667,0.341,0.3573,0.3003,0.2796,0.321,0.3457,0.3457,0.3457,0.011366667,0.011,0.0121,0.3609,0.3609,0.3609,0.3463,0.3463,0.3463
2130,0.349933333,0.3382,0.3581,0.3032,0.2757,0.3307,0.3463,0.3463,0.3463,0.0124,0.0118,0.0136,0.3687,0.3687,0.3687,0.3508,0.3508,0.3508
2134,0.347,0.3415,0.3515,0.29895,0.2725,0.3254,0.3368,0.3368,0.3368,0.009266667,0.0092,0.0093,0.3584,0.3584,0.3584,0.3466,0.3466,0.3466
2138,0.349333333,0.3446,0.3527,0.2999,0.2796,0.3202,0.3363,0.3363,0.3363,0.005366667,0.005,0.0061,0.3573,0.3573,0.3573,0.3488,0.3488,0.3488
2142,0.344666667,0.3395,0.3499,0.29575,0.2725,0.319,0.3305,0.3305,0.3305,0.009933333,0.0084,0.0107,0.3555,0.3555,0.3555,0.3484,0.3484,0.3484
2146,0.345433333,0.3414,0.3533,0.29885,0.2714,0.3263,0.3318,0.3318,0.3318,0.008133333,0.008,0.0084,0.3618,0.3618,0.3618,0.3473,0.3473,0.3473
2150,0.3495,0.3413,0.3608,0.3003,0.276,0.3246,0.3406,0.3406,0.3406,0.013066667,0.0128,0.0132,0.3623,0.3623,0.3623,0.346,0.346,0.346
2154,0.342933333,0.3397,0.348,0.29535,0.2711,0.3196,0.3263,0.3263,0.3263,0.012133333,0.0121,0.0122,0.3578,0.3578,0.3578,0.3453,0.3453,0.3453
2158,0.348166667,0.3394,0.3617,0.30005,0.2764,0.3237,0.3394,0.3394,0.3394,0.007766667,0.0077,0.0079,0.362,0.362,0.362,0.3491,0.3491,0.3491
2162,0.3439,0.3391,0.3467,0.2938,0.2765,0.3111,0.3406,0.3406,0.3406,0.010566667,0.0099,0.0118,0.3604,0.3604,0.3604,0.3495,0.3495,0.3495
2166,0.348566667,0.3445,0.3557,0.30135,0.2757,0.327,0.3375,0.3375,0.3375,0.013566667,0.0134,0.0139,0.3662,0.3662,0.3662,0.3438,0.3438,0.3438
2170,0.345233333,0.3389,0.3567,0.2999,0.2745,0.3253,0.3327,0.3327,0.3327,0.012766667,0.0125,0.013,0.3626,0.3626,0.3626,0.3468,0.3468,0.3468
2174,0.348733333,0.3415,0.3613,0.297,0.2765,0.3175,0.3377,0.3377,0.3377,0.006933333,0.0063,0.0082,0.3631,0.3631,0.3631,0.3474,0.3474,0.3474
2178,0.343766667,0.3379,0.3552,0.29595,0.2701,0.3218,0.3361,0.3361,0.3361,0.010433333,0.0097,0.0108,0.3607,0.3607,0.3607,0.3457,0.3457,0.3457
2182,0.3443,0.3375,0.3518,0.2943,0.2697,0.3189,0.3404,0.3404,0.3404,0.008966667,0.0075,0.0097,0.361,0.361,0.361,0.3479,0.3479,0.3479
2186,0.3456,0.3387,0.3548,0.2985,0.2746,0.3224,0.338,0.338,0.338,0.010966667,0.0097,0.0116,0.3591,0.3591,0.3591,0.3451,0.3451,0.3451
2190,0.349266667,0.3402,0.3617,0.29865,0.278,0.3193,0.3387,0.3387,0.3387,0.013066667,0.0127,0.0138,0.3594,0.3594,0.3594,0.3436,0.3436,0.3436
2194,0.3472,0.3361,0.3623,0.29595,0.27,0.3219,0.3378,0.3378,0.3378,0.011366667,0.0109,0.0123,0.3627,0.3627,0.3627,0.3432,0.3432,0.3432
2198,0.346566667,0.3356,0.3599,0.29975,0.2782,0.3213,0.3337,0.3337,0.3337,0.010566667,0.0105,0.0107,0.3631,0.3631,0.3631,0.342,0.342,0.342
2202,0.342233333,0.3378,0.3509,0.295,0.2709,0.3191,0.3271,0.3271,0.3271,0.0112,0.0111,0.0114,0.3655,0.3655,0.3655,0.3456,0.3456,0.3456
2206,0.343866667,0.3421,0.3464,0.2976,0.2721,0.3231,0.3373,0.3373,0.3373,0.010533333,0.0102,0.0107,0.3602,0.3602,0.3602,0.3451,0.3451,0.3451
2210,0.3481,0.343,0.3538,0.3021,0.2733,0.3309,0.3413,0.3413,0.3413,0.0126,0.0126,0.0126,0.3638,0.3638,0.3638,0.3445,0.3445,0.3445
2214,0.345666667,0.3443,0.3468,0.29805,0.2741,0.322,0.338,0.338,0.338,0.0103,0.0095,0.0119,0.3583,0.3583,0.3583,0.3473,0.3473,0.3473
2218,0.350966667,0.3448,0.3581,0.30055,0.2775,0.3236,0.3382,0.3382,0.3382,0.011966667,0.0117,0.0121,0.3621,0.3621,0.3621,0.345,0.345,0.345
2222,0.3472,0.342,0.354,0.29255,0.2713,0.3138,0.3368,0.3368,0.3368,0.0078,0.0062,0.011,0.3608,0.3608,0.3608,0.3474,0.3474,0.3474
2226,0.345033333,0.3423,0.3486,0.3004,0.2758,0.325,0.3404,0.3404,0.3404,0.014033333,0.0137,0.0147,0.3623,0.3623,0.3623,0.3453,0.3453,0.3453
2230,0.345766667,0.3421,0.3489,0.2957,0.2778,0.3136,0.3484,0.3484,0.3484,0.0079,0.0078,0.0081,0.3664,0.3664,0.3664,0.3492,0.3492,0.3492
2234,0.3469,0.3384,0.3583,0.3004,0.2779,0.3229,0.3356,0.3356,0.3356,0.009533333,0.0095,0.0096,0.365,0.365,0.365,0.354,0.354,0.354
2238,0.3502,0.3425,0.3572,0.29895,0.2779,0.32,0.334,0.334,0.334,0.010466667,0.0096,0.0109,0.3643,0.3643,0.3643,0.3505,0.3505,0.3505
2242,0.349333333,0.3382,0.3577,0.2997,0.2766,0.3228,0.3368,0.3368,0.3368,0.0093,0.0093,0.0093,0.3641,0.3641,0.3641,0.352,0.352,0.352
2246,0.347433333,0.3398,0.359,0.29645,0.2743,0.3186,0.3363,0.3363,0.3363,0.011766667,0.0083,0.0135,0.3645,0.3645,0.3645,0.3551,0.3551,0.3551
2250,0.348533333,0.3403,0.3556,0.29985,0.2748,0.3249,0.3345,0.3345,0.3345,0.007766667,0.0077,0.0079,0.3601,0.3601,0.3601,0.3516,0.3516,0.3516
2254,0.346,0.34,0.357,0.29765,0.2779,0.3174,0.3369,0.3369,0.3369,0.011533333,0.0109,0.0128,0.3613,0.3613,0.3613,0.3543,0.3543,0.3543
2258,0.3489,0.3439,0.3576,0.301,0.2771,0.3249,0.3374,0.3374,0.3374,0.011166667,0.0093,0.0121,0.3647,0.3647,0.3647,0.3496,0.3496,0.3496
2262,0.345766667,0.3426,0.349,0.2971,0.2733,0.3209,0.3386,0.3386,0.3386,0.011666667,0.0113,0.0124,0.3629,0.3629,0.3629,0.3485,0.3485,0.3485
2266,0.344333333,0.3415,0.3458,0.2973,0.273,0.3216,0.334,0.334,0.334,0.010233333,0.0093,0.0107,0.3629,0.3629,0.3629,0.3506,0.3506,0.3506
2270,0.342766667,0.3386,0.3459,0.301,0.2722,0.3298,0.34,0.34,0.34,0.009833333,0.0094,0.0107,0.3632,0.3632,0.3632,0.3494,0.3494,0.3494
2274,0.344366667,0.3416,0.3458,0.2992,0.2767,0.3217,0.3331,0.3331,0.3331,0.012566667,0.0109,0.0134,0.3618,0.3618,0.3618,0.3527,0.3527,0.3527
2278,0.3479,0.3451,0.3519,0.3005,0.2788,0.3222,0.3372,0.3372,0.3372,0.0117,0.0113,0.0125,0.3597,0.3597,0.3597,0.355,0.355,0.355
2282,0.343266667,0.3356,0.3483,0.29295,0.2666,0.3193,0.3347,0.3347,0.3347,0.0097,0.0089,0.0113,0.3599,0.3599,0.3599,0.3495,0.3495,0.3495
2286,0.3431,0.337,0.3493,0.2949,0.2713,0.3185,0.3308,0.3308,0.3308,0.003833333,0.0034,0.0047,0.3594,0.3594,0.3594,0.3476,0.3476,0.3476
2290,0.348066667,0.3446,0.3548,0.30015,0.2791,0.3212,0.3318,0.3318,0.3318,0.010133333,0.0097,0.011,0.361,0.361,0.361,0.3516,0.3516,0.3516
2294,0.350166667,0.3438,0.3575,0.30175,0.2789,0.3246,0.3409,0.3409,0.3409,0.011566667,0.0083,0.0132,0.3663,0.3663,0.3663,0.3518,0.3518,0.3518
2298,0.349966667,0.3459,0.3531,0.30385,0.2772,0.3305,0.3491,0.3491,0.3491,0.0106,0.0094,0.013,0.3653,0.3653,0.3653,0.3538,0.3538,0.3538
2302,0.346966667,0.3421,0.356,0.299,0.2763,0.3217,0.3492,0.3492,0.3492,0.0085,0.0074,0.0107,0.3639,0.3639,0.3639,0.3532,0.3532,0.3532
2306,0.338333333,0.3355,0.3429,0.28995,0.2712,0.3087,0.3437,0.3437,0.3437,0.0105,0.0095,0.011,0.3604,0.3604,0.3604,0.355,0.355,0.355
2310,0.346433333,0.3388,0.3547,0.29915,0.2778,0.3205,0.3466,0.3466,0.3466,0.0088,0.0077,0.0109,0.3654,0.3654,0.3654,0.3592,0.3592,0.3592
2314,0.346966667,0.3419,0.3518,0.29595,0.2793,0.3126,0.349,0.349,0.349,0.011333333,0.0096,0.0122,0.36,0.36,0.36,0.3599,0.3599,0.3599
2318,0.349,0.3404,0.3589,0.29875,0.2764,0.3211,0.3422,0.3422,0.3422,0.012266667,0.011,0.0129,0.3626,0.3626,0.3626,0.3546,0.3546,0.3546
2322,0.345866667,0.3348,0.3568,0.29825,0.2745,0.322,0.3525,0.3525,0.3525,0.010566667,0.0105,0.0107,0.3593,0.3593,0.3593,0.3536,0.3536,0.3536
2326,0.3445,0.3399,0.3497,0.2964,0.2723,0.3205,0.3497,0.3497,0.3497,0.009466667,0.0064,0.011,0.3647,0.3647,0.3647,0.3565,0.3565,0.3565
2330,0.340566667,0.3359,0.3472,0.30045,0.2775,0.3234,0.3409,0.3409,0.3409,0.0075,0.0071,0.0077,0.3623,0.3623,0.3623,0.3557,0.3557,0.3557
2334,0.349733333,0.3431,0.3563,0.3008,0.2771,0.3245,0.3458,0.3458,0.3458,0.009666667,0.0034,0.0128,0.3634,0.3634,0.3634,0.3568,0.3568,0.3568
2338,0.346333333,0.34,0.3536,0.29895,0.2753,0.3226,0.3406,0.3406,0.3406,0.010566667,0.0105,0.0107,0.3608,0.3608,0.3608,0.3588,0.3588,0.3588
2342,0.347366667,0.3421,0.3505,0.29955,0.2762,0.3229,0.3424,0.3424,0.3424,0.0121,0.0109,0.0127,0.3622,0.3622,0.3622,0.3532,0.3532,0.3532
2346,0.3422,0.3392,0.345,0.3027,0.2781,0.3273,0.3335,0.3335,0.3335,0.007966667,0.0064,0.0111,0.3619,0.3619,0.3619,0.353,0.353,0.353
2350,0.341433333,0.338,0.3472,0.29685,0.2748,0.3189,0.3409,0.3409,0.3409,0.006933333,0.0064,0.0072,0.3635,0.3635,0.3635,0.3569,0.3569,0.3569
2354,0.346533333,0.3436,0.352,0.2993,0.2767,0.3219,0.3445,0.3445,0.3445,0.007933333,0.0074,0.0082,0.3649,0.3649,0.3649,0.3603,0.3603,0.3603
2358,0.349766667,0.3435,0.3566,0.29625,0.2757,0.3168,0.3469,0.3469,0.3469,0.0114,0.0074,0.0134,0.3685,0.3685,0.3685,0.3554,0.3554,0.3554
2362,0.343866667,0.3383,0.3535,0.29485,0.2722,0.3175,0.3418,0.3418,0.3418,0.007866667,0.0064,0.0108,0.3661,0.3661,0.3661,0.3592,0.3592,0.3592
2366,0.3423,0.3367,0.3494,0.299,0.2764,0.3216,0.3478,0.3478,0.3478,0.0094,0.0064,0.0109,0.3697,0.3697,0.3697,0.3542,0.3542,0.3542
2370,0.349266667,0.3409,0.3593,0.2996,0.2754,0.3238,0.3432,0.3432,0.3432,0.010966667,0.0094,0.0118,0.3695,0.3695,0.3695,0.3555,0.3555,0.3555
2374,0.3476,0.3417,0.3587,0.29735,0.2753,0.3194,0.3439,0.3439,0.3439,0.0092,0.0089,0.0094,0.362,0.362,0.362,0.3567,0.3567,0.3567
2378,0.347833333,0.3373,0.3596,0.29425,0.2762,0.3123,0.3407,0.3407,0.3407,0.0098,0.0097,0.01,0.3581,0.3581,0.3581,0.3545,0.3545,0.3545
2382,0.3479,0.3404,0.3603,0.3029,0.2854,0.3204,0.3406,0.3406,0.3406,0.010466667,0.0096,0.0109,0.3583,0.3583,0.3583,0.3565,0.3565,0.3565
2386,0.344233333,0.3334,0.3546,0.3024,0.2796,0.3252,0.3356,0.3356,0.3356,0.0126,0.0126,0.0126,0.356,0.356,0.356,0.3484,0.3484,0.3484
2390,0.343966667,0.3279,0.3574,0.30085,0.2766,0.3251,0.337,0.337,0.337,0.008166667,0.0081,0.0083,0.3591,0.3591,0.3591,0.3511,0.3511,0.3511
2394,0.341733333,0.3318,0.3523,0.29905,0.2755,0.3226,0.3456,0.3456,0.3456,0.006466667,0.0063,0.0068,0.3621,0.3621,0.3621,0.3533,0.3533,0.3533
2398,0.342133333,0.3341,0.3549,0.29265,0.2728,0.3125,0.3399,0.3399,0.3399,0.003433333,0.0034,0.0035,0.3568,0.3568,0.3568,0.3479,0.3479,0.3479
